ID,RAJ2000,DEJ2000,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,phot_bp_n_obs,phot_rp_n_obs
31,289.277388379,-16.3202518611,4183935248882039168,289.27737802736,0.0441,-16.32036158656,0.0442,3.2624,0.0555,-2.307,0.085,-25.485,0.074,0.3278,0.0628,-0.3289,-0.3345,-0.4297,-0.1019,-0.4113,-0.4098,0.1048,0.3201,15.4516,7.0E-4,16.5285,0.0101,14.4198,0.0022,,,289.277388379,1.3124,-16.3202518611,1.1495,188.47,155,1.374,16,16
32,289.268080422,-16.3884979699,4183934355528796672,289.26807482844,0.0412,-16.38861137557,0.0421,3.1426,0.056,-1.246,0.083,-26.339,0.068,0.1595,0.1797,-0.4327,-0.2046,-0.5056,0.0907,-0.4749,-0.5368,0.1991,0.1661,10.9393,4.0E-4,11.2631,0.0012,10.4706,5.0E-4,42.84,1.88,289.268080422,1.2859,-16.3884979699,1.0513,295.41,146,1.2,15,15
33,289.548150052,-16.4872628556,4183876248903626240,289.54814531581,0.0374,-16.48737607476,0.0357,3.2067,0.0442,-1.055,0.074,-26.296,0.062,0.1874,0.0181,-0.4083,-0.1535,-0.4516,0.0346,-0.4317,-0.3671,0.1589,0.1532,10.3694,5.0E-4,10.6906,0.001,9.9145,0.0012,,,289.548150052,1.1453,-16.4872628556,0.9665,292.12,158,1.193,16,18
34,289.413804533,-16.609681508,4183868006861843328,289.41380697067,0.0384,-16.60979111562,0.0379,3.3311,0.0509,0.542,0.076,-25.457,0.069,0.288,-0.127,-0.1115,-0.2009,-0.4626,0.0472,-0.2908,-0.4143,0.1984,0.2516,10.0836,5.0E-4,10.442,0.0013,9.5955,0.0019,48.0,1.26,289.413804533,1.1823,-16.609681508,1.0693,379.32,153,1.195,17,18
35,290.636163938,-17.6940464492,4180543152426577664,290.63615447069,0.0464,-17.69415921171,0.04,3.2701,0.0562,-2.095,0.089,-26.19,0.076,0.2067,-0.2585,-0.0816,-0.2237,-0.4222,-0.0067,-0.3134,-0.3355,0.1943,0.0624,10.7435,4.0E-4,11.0553,0.0021,10.295,0.0012,42.4,0.75,290.636163938,1.3813,-17.6940464492,1.171,134.53,112,1.194,12,12
36,293.94868568,-16.966137884,4180137703212436096,293.94867529566,0.0216,-16.96625212321,0.0194,3.1197,0.0233,-2.307,0.043,-26.533,0.041,0.3982,0.1114,-0.3496,-0.2934,-0.1307,-0.2374,-0.3615,-0.3168,0.0512,0.4563,13.7199,4.0E-4,14.2552,0.0032,13.0505,0.0013,,,293.94868568,0.6723,-16.966137884,0.6344,77.79,166,1.237,18,18
37,293.599734719,-18.1771544714,4179531189409378048,293.59973337493,0.0662,-18.17726856298,0.0596,3.0364,0.0725,-0.297,0.128,-26.499,0.115,0.3991,0.0595,-0.2914,-0.4037,-0.1134,-0.3251,-0.3895,-0.3723,0.0162,0.4363,16.7364,0.0011,17.9597,0.0201,15.6399,0.0045,,,293.599734719,1.9872,-18.1771544714,1.7894,181.86,168,1.407,16,19
38,283.212935718,-15.1781666375,4101698200096380032,283.21293713819,0.1438,-15.17827814097,0.1415,3.2979,0.1615,0.318,0.267,-25.898,0.242,0.3579,-0.0497,-0.2073,-0.4003,-0.3264,-0.2723,-0.3324,-0.2613,0.0337,0.2936,16.7103,0.0042,18.0369,0.0257,15.5091,0.0055,,,283.212935718,4.1479,-15.1781666375,3.7611,437.1,131,1.504,13,13
39,287.76306319,-15.9321890615,4088863325977320576,287.76305425003,0.0395,-15.93230590015,0.0331,3.1171,0.0409,-1.997,0.078,-27.137,0.067,0.1834,-0.0986,-0.2647,-0.3021,-0.0866,-0.2475,-0.3868,-0.284,0.0634,0.1456,12.1953,2.0E-4,12.6119,0.0022,11.6282,0.002,21.32,0.81,287.76306319,1.2082,-15.9321890615,1.0371,215.56,136,1.218,11,13
40,286.982715274,-15.962041257,4088827832375470592,286.98271486384,0.0325,-15.96215284453,0.0295,3.0605,0.0342,-0.092,0.057,-25.917,0.05,0.4169,-0.2497,-0.0199,-0.5312,-0.3104,-0.3028,-0.4335,-0.3554,0.0867,0.1334,13.5971,4.0E-4,14.1322,0.0012,12.9309,0.0013,,,286.982715274,0.8823,-15.962041257,0.7697,37.23,109,1.235,14,14
